,Company_(Maker-if known),Specific Bean Origin_or Bar Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Broad Bean_Origin,Company_Location_Count,Location Rarity Classification,Cocoa Amount Group,Country
1318,Ritual,"Camino Verde P., Balao, 2015 harvest, batch8",1860,2016,0.75,U.S.A.,3.75,Ecuador,738,most common,Average Amount,United States of America
1319,Ritual,"Camino Verde P., Balao, Guayas, 2014",1466,2015,0.85,U.S.A.,3.5,Ecuador,738,most common,High Amount,United States of America
1320,Ritual,"Toledo District, Maya",1089,2013,0.75,U.S.A.,3.75,Belize,738,most common,Average Amount,United States of America
1321,Ritual,"Maranon, Cajamarca",1181,2013,0.75,U.S.A.,3.0,Peru,738,most common,Average Amount,United States of America
1322,Ritual,Sambirano,891,2012,0.75,U.S.A.,4.0,Madagascar,738,most common,Average Amount,United States of America
1323,Ritual,"Camino Verde P., 2012, Balao, Guayas",967,2012,0.75,U.S.A.,3.25,Ecuador,738,most common,Average Amount,United States of America
1324,Ritual,Gran Couva,979,2012,0.75,U.S.A.,3.5,Trinidad,738,most common,Average Amount,United States of America
1325,Ritual,Costa Rica,745,2011,0.75,U.S.A.,3.5,Costa Rica,738,most common,Average Amount,United States of America
1326,Roasting Masters,"La Dorado, light roast",1844,2016,0.7,South Korea,3.25,Costa Rica,5,extra rare,Average Amount,South Korea
1327,Roasting Masters,"Tapanti, light roast",1844,2016,0.7,South Korea,3.25,Costa Rica,5,extra rare,Average Amount,South Korea
1328,Roasting Masters,Maleku,1844,2016,0.7,South Korea,3.25,Costa Rica,5,extra rare,Average Amount,South Korea
1329,Robert (aka Chocolaterie Robert),Madagascar,1061,2013,0.75,Madagascar,3.25,Madagascar,17,extra rare,Average Amount,Madagascar
1330,Robert (aka Chocolaterie Robert),Madagascar w/ nibs,1061,2013,0.68,Madagascar,3.25,Madagascar,17,extra rare,Average Amount,Madagascar
1331,Rococo (Grenada Chocolate Co.),"Gru Grococo, St. Andrews",923,2012,0.66,U.K.,3.5,Grenada,95,somewhat rare,Average Amount,United Kingdom
1332,Rogue,"La Masica, Batch 1, FHIA Research Center",1748,2016,0.75,U.S.A.,3.75,Honduras,738,most common,Average Amount,United States of America
1333,Rogue,"Caranero, Choc. Garage Exclusive",1446,2015,0.7,U.S.A.,3.75,Venezuela,738,most common,Average Amount,United States of America
1334,Rogue,"Tranquilidad, Batch 1",1566,2015,0.75,U.S.A.,3.25,Bolivia,738,most common,Average Amount,United States of America
1335,Rogue,Porcelana,1209,2014,0.8,U.S.A.,3.75,Venezuela,738,most common,High Amount,United States of America
1336,Rogue,"Akessons Estate, Sambirano, 2013",1038,2013,0.7,U.S.A.,3.5,Madagascar,738,most common,Average Amount,United States of America
1337,Rogue,"Hispaniola, 2013",1081,2013,0.7,U.S.A.,3.5,Dominican Republic,738,most common,Average Amount,United States of America
1338,Rogue,"Silvestre, Batch 7, 2013",1081,2013,0.75,U.S.A.,4.0,Bolivia,738,most common,Average Amount,United States of America
1339,Rogue,"Bachelor's Hall E., St. Thomas Parish",1193,2013,0.75,U.S.A.,3.75,Jamaica,738,most common,Average Amount,United States of America
1340,Rogue,"Camino Verde P., Balao, Guayas",979,2012,0.75,U.S.A.,3.75,Ecuador,738,most common,Average Amount,United States of America
1341,Rogue,"Silvestre, Batch 1, 2011",793,2011,0.75,U.S.A.,3.0,Bolivia,738,most common,Average Amount,United States of America
1342,Rogue,Piura,565,2010,0.75,U.S.A.,3.75,Peru,738,most common,Average Amount,United States of America
1343,Rogue,Rio Caribe,327,2009,0.7,U.S.A.,3.5,Venezuela,738,most common,Average Amount,United States of America
1344,Rogue,"Hispaniola, 2008",213,2008,0.7,U.S.A.,2.75,Dominican Republic,738,most common,Average Amount,United States of America
1345,Rogue,Jamaica,213,2008,0.7,U.S.A.,2.75,Jamaica,738,most common,Average Amount,United States of America
1346,Rogue,"Sambirano, 2008",213,2008,0.7,U.S.A.,2.75,Madagascar,738,most common,Average Amount,United States of America
1347,Rogue,Trinidad,213,2008,0.7,U.S.A.,3.0,Trinidad,738,most common,Average Amount,United States of America
1348,Rozsavolgyi,Sur del Lago,809,2012,0.84,Hungary,2.5,Venezuela,22,extra rare,High Amount,Hungary
1349,Rozsavolgyi,"Rio Caribe Superior, Paria Penninsula",871,2012,0.76,Hungary,2.25,Venezuela,22,extra rare,Average Amount,Hungary
1350,Rozsavolgyi,"Sambirano, Akesson Estate",871,2012,0.72,Hungary,2.5,Madagascar,22,extra rare,Average Amount,Hungary
1351,Rozsavolgyi,Carenero Superior,713,2011,0.73,Hungary,3.5,Venezuela,22,extra rare,Average Amount,Hungary
1352,Rozsavolgyi,Porcelana,717,2011,0.71,Hungary,2.5,Venezuela,22,extra rare,Average Amount,Hungary
1353,Rozsavolgyi,"Aragua, Trincheras",717,2011,0.7,Hungary,3.5,Venezuela,22,extra rare,Average Amount,Hungary
1354,Rozsavolgyi,Principe,765,2011,0.77,Hungary,2.75,Principe,22,extra rare,Average Amount,Hungary
1355,S.A.I.D.,Malgascio,607,2010,0.64,Italy,3.5,Madagascar,54,rare,Light Amount,Italy
1356,S.A.I.D.,Samana,615,2010,0.7,Italy,3.0,Dominican Republic,54,rare,Average Amount,Italy
1357,S.A.I.D.,Arawak,615,2010,0.72,Italy,3.5,Carribean,54,rare,Average Amount,Italy
1358,Sacred,Midnight,813,2012,0.83,U.S.A.,2.75,Central and S. America,738,most common,High Amount,United States of America
1359,Sacred,Twilight,813,2012,0.69,U.S.A.,3.25,Central and S. America,738,most common,Average Amount,United States of America
1360,Salgado,Bahia Superior,288,2008,0.7,Argentina,3.5,Brazil,9,extra rare,Average Amount,Argentina
1361,Salgado,Esmeraldas,288,2008,0.7,Argentina,3.5,Ecuador,9,extra rare,Average Amount,Argentina
1362,Salgado,Carenero Superior,288,2008,0.7,Argentina,3.5,Venezuela,9,extra rare,Average Amount,Argentina
1363,Salgado,Rio Arriba,292,2008,0.7,Argentina,3.5,Ecuador,9,extra rare,Average Amount,Argentina
1364,Santander (Compania Nacional),Colombian 2008,404,2009,0.75,Colombia,2.75,Colombia,23,extra rare,Average Amount,Colombia
1365,Santander (Compania Nacional),Colombian w/ nibs,414,2009,0.7,Colombia,3.0,Colombia,23,extra rare,Average Amount,Colombia
1366,Santander (Compania Nacional),Colombian Semi Dark,32,2006,0.53,Colombia,2.0,Colombia,23,extra rare,Light Amount,Colombia
1367,Santander (Compania Nacional),Colombian,32,2006,0.65,Colombia,3.0,Colombia,23,extra rare,Average Amount,Colombia
1368,Santander (Compania Nacional),Colombian Dark,32,2006,0.7,Colombia,4.0,Colombia,23,extra rare,Average Amount,Colombia
1369,Santome,Sao Tome,761,2011,0.7,France,2.75,Sao Tome,144,somewhat common,Average Amount,France
1370,Scharffen Berger,San Juan de Cheni,959,2012,0.78,U.S.A.,4.0,Peru,738,most common,Average Amount,United States of America
1371,Scharffen Berger,Markham Valley,781,2011,0.68,U.S.A.,3.75,Papua New Guinea,738,most common,Average Amount,United States of America
1372,Scharffen Berger,Camahogne,464,2010,0.68,U.S.A.,3.5,Grenada,738,most common,Average Amount,United States of America
1373,Scharffen Berger,Amina,464,2010,0.65,U.S.A.,3.75,Madagascar,738,most common,Average Amount,United States of America
1374,Scharffen Berger,Tome Acu,336,2009,0.68,U.S.A.,3.75,Brazil,738,most common,Average Amount,United States of America
1375,Scharffen Berger,Asante,336,2009,0.65,U.S.A.,4.0,Ghana,738,most common,Average Amount,United States of America
1376,Scharffen Berger,Ben Tre,445,2009,0.72,U.S.A.,3.75,Vietnam,738,most common,Average Amount,United States of America
1377,Scharffen Berger,Finisterra,227,2008,0.72,U.S.A.,3.0,"Ven., Trinidad, Mad.",738,most common,Average Amount,United States of America
1378,Scharffen Berger,Las Islas,117,2007,0.72,U.S.A.,3.0,Carribean(DR/Jam/Tri),738,most common,Average Amount,United States of America
1379,Scharffen Berger,Cuyagua,135,2007,0.75,U.S.A.,3.75,Venezuela,738,most common,Average Amount,United States of America
1380,Scharffen Berger,Antilles (Trin/Gren/DR/Ven),188,2007,0.75,U.S.A.,3.0,Carribean,738,most common,Average Amount,United States of America
1381,Scharffen Berger,Kumasi Sambirano,40,2006,0.68,U.S.A.,2.0,Ghana & Madagascar,738,most common,Average Amount,United States of America
1382,Scharffen Berger,Jamaica a l'ancienne,56,2006,0.7,U.S.A.,2.0,Jamaica,738,most common,Average Amount,United States of America
1383,Seaforth,Dominican Republic,1658,2015,0.7,U.K.,2.75,Domincan Republic,95,somewhat rare,Average Amount,United Kingdom
1384,Seaforth,Grenada,1658,2015,0.7,U.K.,2.75,Grenada,95,somewhat rare,Average Amount,United Kingdom
1385,Shark Mountain,Jamaica,1450,2015,0.72,U.S.A.,3.25,Jamaica,738,most common,Average Amount,United States of America
1386,Shark Mountain,Papua New Guinea,1450,2015,0.73,U.S.A.,3.5,Papua New Guinea,738,most common,Average Amount,United States of America
1387,Shark Mountain,Cuyagua,1466,2015,0.77,U.S.A.,2.75,Venezuela,738,most common,Average Amount,United States of America
1388,Shark Mountain,ROIG,1466,2015,0.74,U.S.A.,3.5,Dominican Republic,738,most common,Average Amount,United States of America
1389,Shark Mountain,Ecuador,1335,2014,0.75,U.S.A.,3.0,Ecuador,738,most common,Average Amount,United States of America
1390,Shark Mountain,"Belize, 2013",1335,2014,0.72,U.S.A.,3.25,Belize,738,most common,Average Amount,United States of America
1391,Shark's,Hilo,713,2011,0.73,U.S.A.,2.0,Hawaii,738,most common,Average Amount,United States of America
1392,Shark's,"Hilo, w/ added cocoa butter",721,2011,0.73,U.S.A.,2.5,Hawaii,738,most common,Average Amount,United States of America
1393,Shattel,Tingo Maria,1884,2016,0.7,Peru,3.25,Peru,17,extra rare,Average Amount,Peru
1394,Shattell,Porcelana,757,2011,0.75,Peru,3.5,Peru,17,extra rare,Average Amount,Peru
1395,Sibu,Oro,1586,2015,0.82,Costa Rica,3.25,Costa Rica,9,extra rare,High Amount,Costa Rica
1396,Sibu,Oscuro,1586,2015,0.7,Costa Rica,3.5,Costa Rica,9,extra rare,Average Amount,Costa Rica
1397,Sibu Sura,Peru,911,2012,0.7,U.S.A.,2.5,Peru,738,most common,Average Amount,United States of America
1398,Silvio Bessone,Maya Belize,717,2011,0.67,Italy,3.0,Belize,54,rare,Average Amount,Italy
1399,Silvio Bessone,"Trintade, Sao Tome",725,2011,0.65,Italy,3.25,Sao Tome,54,rare,Average Amount,Italy
1400,Silvio Bessone,"Bahia, Scavina",729,2011,0.6,Italy,3.25,Brazil,54,rare,Light Amount,Italy
1401,Silvio Bessone,"Porcelana, Colombia, Amazonas",741,2011,0.68,Italy,3.0,Colombia,54,rare,Average Amount,Italy
1402,Sirene,Wild Bolivia,1788,2016,0.73,Canada,3.5,Bolivia,117,somewhat rare,Average Amount,Canada
1403,Sirene,Kokoa Kamili Coop,1856,2016,0.73,Canada,3.5,Tanzania,117,somewhat rare,Average Amount,Canada
1404,Sirene,"Esmeraldas, Salazar Farm",1860,2016,0.73,Canada,3.75,Ecuador,117,somewhat rare,Average Amount,Canada
1405,Sirene,"Somia Plantation, 2012",1502,2015,1.0,Canada,3.0,Madagascar,117,somewhat rare,High Amount,Canada
1406,Sirene,"Camino Verde P., Balao, Guayas, 2012",1506,2015,1.0,Canada,3.0,Ecuador,117,somewhat rare,High Amount,Canada
1407,Sirene,Lachua w/ cane sugar,1614,2015,0.73,Canada,3.0,Guatemala,117,somewhat rare,Average Amount,Canada
1408,Sirene,"Lachua w/ maple sugar, batch 5",1614,2015,0.73,Canada,3.25,Guatemala,117,somewhat rare,Average Amount,Canada
1409,Sirene,Pisa,1650,2015,0.73,Canada,3.25,Haiti,117,somewhat rare,Average Amount,Canada
1410,Sirene,"Somia Plantation, 2012",1339,2014,0.67,Canada,3.75,Madagascar,117,somewhat rare,Average Amount,Canada
1411,Sirene,"Somia Plantation, 2012",1339,2014,0.73,Canada,3.75,Madagascar,117,somewhat rare,Average Amount,Canada
1412,Sirene,"Camino Verde P., Balao, Guayas",1343,2014,0.73,Canada,3.75,Ecuador,117,somewhat rare,Average Amount,Canada
1413,Sjolinds,Ghana,1454,2015,0.7,U.S.A.,2.75,Ghana,738,most common,Average Amount,United States of America
1414,Sjolinds,Nicaragua,1462,2015,0.72,U.S.A.,3.0,Nicaragua,738,most common,Average Amount,United States of America
1415,"Smooth Chocolator, The","Oko Caribe, DOR005",1940,2017,0.7,Australia,3.5,Dominican Republic,46,rare,Average Amount,Australia
1416,"Smooth Chocolator, The","Guasare, La Sierra de Perija, batch gua001",1740,2016,0.7,Australia,3.75,Venezuela,46,rare,Average Amount,Australia
1417,"Smooth Chocolator, The","Porcelana, Sorotaima,Machiques,batch pcl001",1740,2016,0.7,Australia,4.0,Ecuador,46,rare,Average Amount,Australia
1418,"Smooth Chocolator, The","Maya Mtn, Moho R., Toledo D.",1756,2016,0.7,Australia,3.75,Belize,46,rare,Average Amount,Australia
1419,"Smooth Chocolator, The",Tien Giang,1864,2016,0.7,Australia,3.0,Vietnam,46,rare,Average Amount,Australia
1420,"Smooth Chocolator, The",Australia,1864,2016,0.67,Australia,3.75,Australia,46,rare,Average Amount,Australia
1421,"Smooth Chocolator, The","Chimelb, Lanquin, Alta Verapaz, b-GUA001",1908,2016,0.7,Australia,3.25,Guatemala,46,rare,Average Amount,Australia
1422,"Smooth Chocolator, The",Akesson's Estate,1618,2015,0.65,Australia,3.25,Madagascar,46,rare,Average Amount,Australia
1423,"Smooth Chocolator, The",Akesson's Estate,1622,2015,0.7,Australia,3.5,Madagascar,46,rare,Average Amount,Australia
1424,"Smooth Chocolator, The",Kokoa Kamili,1622,2015,0.67,Australia,3.75,Tanzania,46,rare,Average Amount,Australia
1425,"Smooth Chocolator, The",San Juan Estate,1622,2015,0.7,Australia,3.75,Trinidad,46,rare,Average Amount,Australia
1426,"Smooth Chocolator, The",Camino Verde,1622,2015,0.72,Australia,4.0,Ecuador,46,rare,Average Amount,Australia
1427,"Smooth Chocolator, The",Bolivia,1626,2015,0.72,Australia,2.75,Bolivia,46,rare,Average Amount,Australia
1428,"Smooth Chocolator, The","Papua New Guinea, triple roast, batch 1",1662,2015,0.65,Australia,3.5,Papua New Guinea,46,rare,Average Amount,Australia
1429,"Smooth Chocolator, The","Maranon, batch 2",1666,2015,0.67,Australia,3.0,Peru,46,rare,Average Amount,Australia
1430,"Smooth Chocolator, The","Chuao, batch 3",1666,2015,0.7,Australia,3.75,Venezuela,46,rare,Average Amount,Australia
1431,Snake & Butterfly,Ghana,693,2011,0.67,U.S.A.,1.5,Ghana,738,most common,Average Amount,United States of America
1432,Snake & Butterfly,Madagascar,502,2010,0.68,U.S.A.,3.0,Madagascar,738,most common,Average Amount,United States of America
1433,Snake & Butterfly,Ecuador,502,2010,0.68,U.S.A.,3.25,Ecuador,738,most common,Average Amount,United States of America
1434,Sol Cacao,"Ecuador, Batch 1",1812,2016,0.7,U.S.A.,3.5,Ecuador,738,most common,Average Amount,United States of America
1435,Sol Cacao,Madagascar,1518,2015,0.72,U.S.A.,3.0,Madagascar,738,most common,Average Amount,United States of America
1436,Solkiki,"Maranon, Fortunato No. 4",1840,2016,0.68,U.K.,2.75,Peru,95,somewhat rare,Average Amount,United Kingdom
1437,Solkiki,"Castillo, Hispaniola, unroasted",1840,2016,0.85,U.K.,2.75,Domincan Republic,95,somewhat rare,High Amount,United Kingdom
1438,Solomons Gold,Solomon Island,1792,2016,0.7,New Zealand,3.25,Solomon Islands,17,extra rare,Average Amount,New Zealand
1439,Solomons Gold,Solomon Island w/ nibs,1796,2016,0.75,New Zealand,3.25,Solomon Islands,17,extra rare,Average Amount,New Zealand
1440,Solstice,Bundibugyo,1335,2014,0.7,U.S.A.,3.0,Uganda,738,most common,Average Amount,United States of America
1441,Solstice,Sambirano,1157,2013,0.7,U.S.A.,3.0,Madagascar,738,most common,Average Amount,United States of America
1442,Solstice,Amazonas,1157,2013,0.7,U.S.A.,3.0,Venezuela,738,most common,Average Amount,United States of America
1443,Solstice,Bolivia,1161,2013,0.7,U.S.A.,3.25,Bolivia,738,most common,Average Amount,United States of America
1444,Solstice,San Martin,1161,2013,0.7,U.S.A.,3.25,Peru,738,most common,Average Amount,United States of America
1445,Soma,"Oko Caribe, Duarte P., Collab w Chocosol",1820,2016,0.62,Canada,3.5,Domincan Republic,117,somewhat rare,Light Amount,Canada
1446,Soma,"Sambirano Valley, Black Science, B-60307.0",1820,2016,0.7,Canada,3.5,Madagascar,117,somewhat rare,Average Amount,Canada
1447,Soma,"Bahia Black, batch bra50722.1",1828,2016,0.7,Canada,3.5,Brazil,117,somewhat rare,Average Amount,Canada
1448,Soma,"Abstract S. w/ Jamaica nibs,batch abs60323.0",1828,2016,0.75,Canada,3.75,"Ven.,Ecu.,Peru,Nic.",117,somewhat rare,Average Amount,Canada
1449,Soma,"Chuno, San Jose de Bocay, Pantasma R.,B.S.",1828,2016,0.7,Canada,3.75,Nicaragua,117,somewhat rare,Average Amount,Canada
1450,Soma,"Tien Giang, Black S., batch VIT60420.0",1828,2016,0.7,Canada,4.0,Vietnam,117,somewhat rare,Average Amount,Canada
1451,Soma,"Camino Verde, Black S., batch cvu6030.0",1832,2016,0.7,Canada,3.25,Ecuador,117,somewhat rare,Average Amount,Canada
1452,Soma,CSB Chama,1594,2015,0.7,Canada,3.5,Venezuela,117,somewhat rare,Average Amount,Canada
1453,Soma,Porcelana,1594,2015,0.75,Canada,4.0,Venezuela,117,somewhat rare,Average Amount,Canada
1454,Soma,"La Tronca, Matagalpa",1227,2014,0.7,Canada,3.5,Nicaragua,117,somewhat rare,Average Amount,Canada
1455,Soma,Maranon Canyon,1259,2014,0.7,Canada,3.75,Peru,117,somewhat rare,Average Amount,Canada
1456,Soma,La Dalia,1307,2014,0.7,Canada,3.25,Nicaragua,117,somewhat rare,Average Amount,Canada
1457,Soma,"Camino Verde P., Balao, Guayas",1307,2014,0.8,Canada,3.5,Ecuador,117,somewhat rare,High Amount,Canada
1458,Soma,"Espiritu Santo, 'Smoke Monster'",1307,2014,0.7,Canada,3.75,Vanuatu,117,somewhat rare,Average Amount,Canada
1459,Soma,Little Big Man,1339,2014,0.7,Canada,3.25,Madagascar & Ecuador,117,somewhat rare,Average Amount,Canada
1460,Soma,"Rizek Cacao, Domin. Rep.",1019,2013,0.77,Canada,3.75,Dominican Republic,117,somewhat rare,Average Amount,Canada
1461,Soma,Java,1030,2013,0.7,Canada,3.25,Indonesia,117,somewhat rare,Average Amount,Canada
1462,Soma,"Apurimac, El Quinacho Co-op",1073,2013,0.7,Canada,2.75,Peru,117,somewhat rare,Average Amount,Canada
1463,Soma,"Sangre Grande P., Trinidad",1073,2013,0.7,Canada,3.75,Trinidad,117,somewhat rare,Average Amount,Canada
1464,Soma,Patanemo,1077,2013,0.7,Canada,3.75,Venezuela,117,somewhat rare,Average Amount,Canada
1465,Soma,Crazy 88,1077,2013,0.88,Canada,4.0,"Guat., D.R., Peru, Mad., PNG",117,somewhat rare,High Amount,Canada
1466,Soma,"Maracaibo, El Vigia",1077,2013,0.7,Canada,4.0,Venezuela,117,somewhat rare,Average Amount,Canada
1467,Soma,Equator,1081,2013,0.67,Canada,4.0,"Peru, Dom. Rep",117,somewhat rare,Average Amount,Canada
1468,Soma,Orinoco,1173,2013,0.7,Canada,3.25,Venezuela,117,somewhat rare,Average Amount,Canada
1469,Soma,"Bachelor's Hall E., St. Thomas Parish",1177,2013,0.7,Canada,4.0,Jamaica,117,somewhat rare,Average Amount,Canada
1470,Soma,Noula Coop,817,2012,0.7,Canada,3.25,Haiti,117,somewhat rare,Average Amount,Canada
1471,Soma,O'ahu,833,2012,0.7,Canada,3.75,Hawaii,117,somewhat rare,Average Amount,Canada
1472,Soma,"Dual Origins, Sambirano, Elvesia",867,2012,0.7,Canada,4.0,"Dom. Rep., Madagascar",117,somewhat rare,Average Amount,Canada
1473,Soma,"Dancing in Your Head, 5 bean blend",867,2012,0.7,Canada,4.0,"Gre., PNG, Haw., Haiti, Mad",117,somewhat rare,Average Amount,Canada
1474,Soma,Cahabon Region,951,2012,0.7,Canada,3.5,Guatemala,117,somewhat rare,Average Amount,Canada
1475,Soma,Carenero Superior,951,2012,0.7,Canada,3.75,Venezuela,117,somewhat rare,Average Amount,Canada
1476,Soma,Eastern Promises,967,2012,0.7,Canada,3.5,"Mad., Java, PNG",117,somewhat rare,Average Amount,Canada
1477,Soma,Papua New Guinea,983,2012,0.85,Canada,3.5,Papua New Guinea,117,somewhat rare,High Amount,Canada
1478,Soma,"Grenada, Black Science",676,2011,0.7,Canada,2.75,Grenada,117,somewhat rare,Average Amount,Canada
1479,Soma,"Alto Beni, Wild Bolivian",676,2011,0.7,Canada,3.5,Bolivia,117,somewhat rare,Average Amount,Canada
1480,Soma,Peruvian,676,2011,0.64,Canada,4.0,Peru,117,somewhat rare,Light Amount,Canada
1481,Soma,"Three Amigos(Chuao, Wild Bolivia, D.R.)",676,2011,0.7,Canada,4.0,"Ven, Bolivia, D.R.",117,somewhat rare,Average Amount,Canada
1482,Soma,"Elvesia P., Black Science",682,2011,0.7,Canada,3.75,Dominican Republic,117,somewhat rare,Average Amount,Canada
1483,Soma,Chuao,688,2011,0.7,Canada,3.5,Venezuela,117,somewhat rare,Average Amount,Canada
1484,Soma,Black Science Blend 1,607,2010,0.7,Canada,3.75,"DR, Ecuador, Peru",117,somewhat rare,Average Amount,Canada
1485,Soma,Hispaniola,377,2009,0.7,Canada,3.0,Dominican Republic,117,somewhat rare,Average Amount,Canada
1486,Soma,Africa,377,2009,0.7,Canada,3.5,Ghana,117,somewhat rare,Average Amount,Canada
1487,Soma,Conacado,387,2009,0.7,Canada,3.0,Dominican Republic,117,somewhat rare,Average Amount,Canada
1488,Soma,Papua New Guinea,387,2009,0.7,Canada,3.5,Papua New Guinea,117,somewhat rare,Average Amount,Canada
1489,Soma,Madagascar,387,2009,0.7,Canada,3.75,Madagascar,117,somewhat rare,Average Amount,Canada
1490,Soma,Ocumare,387,2009,0.7,Canada,3.75,Venezuela,117,somewhat rare,Average Amount,Canada
1491,Somerville,Nicaragua,1367,2014,0.7,U.S.A.,3.25,Nicaragua,738,most common,Average Amount,United States of America
1492,Somerville,"Hawaiian, Big Island",1395,2014,0.7,U.S.A.,3.5,Hawaii,738,most common,Average Amount,United States of America
1493,Soul,Dominican Republic,1932,2017,0.7,Canada,3.25,Dominican Republic,117,somewhat rare,Average Amount,Canada
1494,Soul,Madagascar,1936,2017,0.7,Canada,3.5,Madagascar,117,somewhat rare,Average Amount,Canada
1495,Soul,Venezuela,1936,2017,0.75,Canada,3.5,Venezuela,117,somewhat rare,Average Amount,Canada
1496,Soul,Ecuador,1936,2017,0.75,Canada,3.25,Ecuador,117,somewhat rare,Average Amount,Canada
1497,Soul,Papua New Guinea,1936,2017,0.77,Canada,3.25,Papua New Guinea,117,somewhat rare,Average Amount,Canada
1498,Soul,Tanzania,1940,2017,0.8,Canada,3.5,Tanzania,117,somewhat rare,High Amount,Canada
1499,Spagnvola,AgroCriso Plantation,793,2012,0.7,U.S.A.,3.0,Dominican Republic,738,most common,Average Amount,United States of America
1500,Spagnvola,AgroCriso Plantation,793,2012,0.8,U.S.A.,3.0,Dominican Republic,738,most common,High Amount,United States of America
1501,Spagnvola,AgroCriso Plantation,793,2012,0.75,U.S.A.,3.25,Dominican Republic,738,most common,Average Amount,United States of America
1502,Spencer,Dominican Republic,1932,2017,0.7,U.S.A.,3.75,Dominican Republic,738,most common,Average Amount,United States of America
1503,Spencer,Ecuador,1932,2017,0.7,U.S.A.,3.5,Ecuador,738,most common,Average Amount,United States of America
1504,Spencer,Peru,1932,2017,0.7,U.S.A.,2.75,Peru,738,most common,Average Amount,United States of America
1505,Spencer,"Dominican Republic, lot D82R",1792,2016,0.7,Australia,3.5,Domincan Republic,46,rare,Average Amount,Australia
1506,Spencer,"Ecuador, lot E432314L",1792,2016,0.7,Australia,3.75,Ecuador,46,rare,Average Amount,Australia
1507,Spencer,"Madagascar, lot M0403R",1792,2016,0.7,Australia,3.75,Madagascar,46,rare,Average Amount,Australia
1508,Spencer,Malekula Island,1434,2014,0.72,Australia,2.75,Vanuatu,46,rare,Average Amount,Australia
1509,Sprungli (Felchlin),Alto Beni,1057,2013,0.7,Switzerland,3.0,Bolivia,35,rare,Average Amount,Switzerland
1510,SRSLY,Dominican Republic,1113,2013,0.7,U.S.A.,3.0,Dominican Republic,738,most common,Average Amount,United States of America
1511,SRSLY,Dominican Republic,1121,2013,0.84,U.S.A.,2.25,Dominican Republic,738,most common,High Amount,United States of America
1512,Starchild,"Bolivar, Arriba",1634,2015,0.7,U.S.A.,3.0,Ecuador,738,most common,Average Amount,United States of America
1513,Starchild,Hispaniola,1692,2015,0.7,U.S.A.,3.0,Domincan Republic,738,most common,Average Amount,United States of America
1514,Starchild,Cacao Verapaz,1692,2015,0.7,U.S.A.,3.0,Guatemala,738,most common,Average Amount,United States of America
1515,Starchild,Rio Tuma,1692,2015,0.7,U.S.A.,3.0,Nicaragua,738,most common,Average Amount,United States of America
1516,Starchild,Sambirano Valley,1696,2015,0.7,U.S.A.,3.0,Madagascar,738,most common,Average Amount,United States of America
1517,Stella (aka Bernrain),"Bahia, Agri-Forestal Plantation, 2010",859,2012,0.68,Switzerland,2.75,Brazil,35,rare,Average Amount,Switzerland
1518,Stella (aka Bernrain),India,729,2011,0.72,Switzerland,3.25,India,35,rare,Average Amount,Switzerland
1519,Stone Grindz,"Ecuador, Midnight Dark",1291,2014,0.84,U.S.A.,3.5,Ecuador,738,most common,High Amount,United States of America
1520,Stone Grindz,"Ecuador, Twilght Dark",1291,2014,0.7,U.S.A.,3.5,Ecuador,738,most common,Average Amount,United States of America
1521,StRita Supreme,"Samar, East Visayas region",939,2012,0.65,U.S.A.,2.5,Philippines,738,most common,Average Amount,United States of America
1522,StRita Supreme,"Samar, East Visayas region",943,2012,0.7,U.S.A.,2.5,Philippines,738,most common,Average Amount,United States of America
1523,StRita Supreme,"Samar, East Visayas region",943,2012,0.75,U.S.A.,2.75,Philippines,738,most common,Average Amount,United States of America
1524,Sublime Origins,Sambirano,1157,2013,0.67,U.S.A.,2.75,Madagascar,738,most common,Average Amount,United States of America
1525,Sublime Origins,Moho Valley,1157,2013,0.78,U.S.A.,3.25,Belize,738,most common,Average Amount,United States of America
1526,Summerbird,Peru,1800,2016,0.61,Denmark,2.5,Peru,15,extra rare,Light Amount,Denmark
1527,Summerbird,Peru,1800,2016,0.71,Denmark,3.0,Peru,15,extra rare,Average Amount,Denmark
1528,Suruca Chocolate,Venezuela,1796,2016,0.7,Venezuela,2.75,Venezuela,20,extra rare,Average Amount,Venezuela
1529,Suruca Chocolate,Venezuela,1796,2016,0.6,Venezuela,3.0,Venezuela,20,extra rare,Light Amount,Venezuela
1530,Svenska Kakaobolaget,Sri Lanka,1618,2015,0.7,Sweden,2.75,Sri Lanka,5,extra rare,Average Amount,Sweden
1531,Szanto Tibor,Nacional,1668,2015,0.7,Hungary,3.25,Ecuador,22,extra rare,Average Amount,Hungary
1532,Szanto Tibor,Baracoa,1704,2015,0.88,Hungary,3.25,Cuba,22,extra rare,High Amount,Hungary
1533,Szanto Tibor,Ambolikapiky,1704,2015,0.7,Hungary,3.25,Madagascar,22,extra rare,Average Amount,Hungary
1534,Szanto Tibor,"Winak, Sumaco",1704,2015,0.7,Hungary,3.75,Ecuador,22,extra rare,Average Amount,Hungary
1535,Szanto Tibor,"Ben Tre, Mekong Delta",1708,2015,0.7,Hungary,3.25,Vietnam,22,extra rare,Average Amount,Hungary
1536,Szanto Tibor,"Fazenda Sempre Firme, Bahia",1708,2015,0.7,Hungary,3.5,Brazil,22,extra rare,Average Amount,Hungary
